id_colab,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,job,salary,left,satisfaction_type,eval_class,hours_class,promo_eval,project_hours
4,0.72,0.87,5.0,223,5,0,False,sales,low,1,Satisfait,bon,warning,0.87,228.0
5,0.37,0.52,2.0,159,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.52,161.0
7,0.1,0.77,6.0,247,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.77,253.0
9,0.89,1.0,5.0,224,5,0,False,sales,low,1,Satisfait,bon,warning,1.0,229.0
10,0.42,0.53,2.0,142,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.53,144.0
11,0.45,0.54,2.0,135,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.54,137.0
12,0.11,0.81,6.0,305,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.81,311.0
13,0.84,0.92,4.0,234,5,0,False,sales,low,1,Satisfait,bon,warning,0.92,238.0
14,0.41,0.55,2.0,148,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.55,150.0
15,0.36,0.56,2.0,137,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.56,139.0
16,0.38,0.54,2.0,143,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.54,145.0
17,0.45,0.47,2.0,160,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.47,162.0
19,0.45,0.51,2.0,160,3,1,True,sales,low,1,Moyen,moyennement bon,acceptable,1.51,162.0
22,0.38,0.55,2.0,147,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.55,149.0
23,0.09,0.95,6.0,304,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.95,310.0
27,0.82,0.87,4.0,239,5,0,False,sales,low,1,Satisfait,bon,warning,0.87,243.0
29,0.41,0.46,2.0,128,3,0,False,accounting,low,1,Moyen,moyennement bon,acceptable,0.46,130.0
34,0.45,0.55,2.0,140,3,0,False,hr,low,1,Moyen,moyennement bon,acceptable,0.55,142.0
35,0.84,0.87,4.0,246,6,0,False,hr,low,1,Satisfait,bon,warning,0.87,250.0
36,0.1,0.94,6.0,255,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.94,261.0
37,0.38,0.46,2.0,137,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.46,139.0
38,0.45,0.5,2.0,126,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.5,128.0
39,0.11,0.89,6.0,306,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.89,312.0
40,0.41,0.54,2.0,152,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.54,154.0
41,0.87,0.88,5.0,269,5,0,False,technical,low,1,Satisfait,bon,warning,0.88,274.0
44,0.1,0.8,7.0,281,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.8,288.0
45,0.09,0.89,6.0,276,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.89,282.0
46,0.84,0.74,3.0,182,4,0,False,technical,low,1,Satisfait,bon,acceptable,0.74,185.0
48,0.57,0.7,3.0,273,6,0,False,support,low,1,Moyen,bon,warning,0.7,276.0
49,0.4,0.54,2.0,148,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.54,150.0
50,0.43,0.47,2.0,147,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.47,149.0
51,0.13,0.78,6.0,152,2,0,False,support,low,1,Pas satisfait,bon,acceptable,0.78,158.0
53,0.38,0.55,2.0,134,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.55,136.0
54,0.39,0.54,2.0,132,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.54,134.0
55,0.1,0.92,7.0,307,4,0,False,support,low,1,Pas satisfait,bon,warning,0.92,314.0
56,0.37,0.46,2.0,140,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.46,142.0
58,0.1,0.81,6.0,309,4,0,False,technical,low,1,Pas satisfait,bon,warning,0.81,315.0
60,0.85,1.0,4.0,225,5,0,False,technical,low,1,Satisfait,bon,warning,1.0,229.0
61,0.85,0.91,5.0,226,5,0,False,management,medium,1,Satisfait,bon,warning,0.91,231.0
62,0.11,0.93,7.0,308,4,0,False,IT,medium,1,Pas satisfait,bon,warning,0.93,315.0
63,0.1,0.95,6.0,244,5,0,False,IT,medium,1,Pas satisfait,bon,warning,0.95,250.0
64,0.36,0.56,2.0,132,3,0,False,IT,medium,1,Moyen,moyennement bon,acceptable,0.56,134.0
66,0.81,0.7,6.0,161,4,0,False,IT,medium,1,Satisfait,bon,acceptable,0.7,167.0
68,0.9,0.98,4.0,264,6,0,False,product_mng,medium,1,Satisfait,bon,warning,0.98,268.0
69,0.76,0.86,5.0,223,5,1,False,product_mng,medium,1,Satisfait,bon,warning,0.86,228.0
70,0.43,0.5,2.0,135,3,0,False,product_mng,medium,1,Moyen,moyennement bon,acceptable,0.5,137.0
72,0.09,0.77,5.0,275,4,0,False,product_mng,medium,1,Pas satisfait,bon,warning,0.77,280.0
75,0.11,0.97,6.0,277,4,0,False,product_mng,medium,1,Pas satisfait,bon,warning,0.97,283.0
77,0.1,0.83,6.0,295,4,0,False,product_mng,medium,1,Pas satisfait,bon,warning,0.83,301.0
80,0.39,0.56,2.0,142,3,0,False,accounting,low,1,Moyen,moyennement bon,acceptable,0.56,144.0
81,0.45,0.54,2.0,140,3,0,False,support,low,1,Moyen,moyennement bon,acceptable,0.54,142.0
82,0.38,0.49,2.0,151,3,0,False,technical,low,1,Moyen,moyennement bon,acceptable,0.49,153.0
83,0.79,0.59,4.0,139,3,0,True,management,low,1,Satisfait,moyennement bon,acceptable,1.5899999999999999,143.0
84,0.84,0.85,4.0,249,6,0,False,marketing,low,1,Satisfait,bon,warning,0.85,253.0
86,0.11,0.87,6.0,305,4,0,False,marketing,low,1,Pas satisfait,bon,warning,0.87,311.0
87,0.17,0.84,5.0,232,3,0,False,sales,low,1,Pas satisfait,bon,warning,0.84,237.0
88,0.44,0.45,2.0,132,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.45,134.0
89,0.37,0.57,2.0,130,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.57,132.0
90,0.1,0.79,6.0,291,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.79,297.0
92,0.89,1.0,5.0,246,5,0,False,sales,low,1,Satisfait,bon,warning,1.0,251.0
93,0.42,0.48,2.0,143,3,0,False,sales,low,1,Moyen,moyennement bon,acceptable,0.48,145.0
97,0.1,0.77,6.0,265,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.77,271.0
98,0.1,0.84,6.0,279,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.84,285.0
99,0.11,0.97,6.0,284,4,0,False,sales,low,1,Pas satisfait,bon,warning,0.97,290.0
100,0.9,1.0,5.0,221,6,0,False,sales,medium,1,Satisfait,bon,warning,1.0,226.0
101,0.38,0.52,2.0,154,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.52,156.0
102,0.36,0.52,2.0,147,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.52,149.0
103,0.42,0.46,2.0,150,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.46,152.0
104,0.09,0.94,7.0,267,4,0,False,sales,medium,1,Pas satisfait,bon,warning,0.94,274.0
105,0.43,0.52,2.0,158,3,0,False,sales,medium,1,Moyen,moyennement bon,acceptable,0.52,160.0
108,0.44,0.5,2.0,148,3,0,False,accounting,medium,1,Moyen,moyennement bon,acceptable,0.5,150.0
109,0.71,0.87,3.0,177,4,0,False,hr,medium,1,Satisfait,bon,acceptable,0.87,180.0
110,0.4,0.49,2.0,155,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.49,157.0
111,0.43,0.47,2.0,144,3,0,False,hr,medium,1,Moyen,moyennement bon,acceptable,0.47,146.0
